Week,CustomerID,SKUID,SKUCODE,OrderCount,OrderFreqDays,OrderQty,OrderValue,LastDeliveryDate
17,5246542,44792,IRC001P2,1,1,5,47500,2025-04-22
18,5376359,53418,VOS4596P8,2,2,168,3108000,2025-05-03
20,5131072,22836,ABSPAG500G,1,1,3,48909,2025-05-13
21,5279534,19679,IOC001,1,1,3,30900,2025-05-19
18,5323976,22415,MCHEF250G,1,1,2,17280,2025-05-03
15,5132312,30525,CCV45GPx96P,1,1,3,34800,2025-04-11
16,4476988,22066,DANG500G,1,1,1,18450,2025-04-19
19,5135713,22026,MIMEE_RC070,1,1,1,8000,2025-05-06
19,5297364,22026,MIMEE_RC070,1,1,15,120000,2025-05-05
19,3896955,22018,GPSPAG500G,1,1,2,37690,2025-05-09
22,5346651,45899,CPL25GX120P8,1,1,2,39000,2025-05-27
14,5238692,22067,MCHEF500G,1,1,2,16700,2025-04-03
16,5321163,45084,HHS075IN112,1,1,3,24000,2025-04-16
17,5143268,22026,MIMEE_RC070,1,1,2,16000,2025-04-21
22,5217288,23655,MKSPAG500G,1,1,1,15200,2025-05-26
14,5231522,22026,MIMEE_RC070,1,1,3,24000,2025-04-05
21,5317870,22026,MIMEE_RC070,1,1,4,32000,2025-05-19
14,5264725,22018,GPSPAG500G,1,1,1,19320,2025-04-03
15,5135575,22065,GPSPAGTINI500G,1,1,5,94225,2025-04-12
14,5352704,24962,MGSEMO5KG,1,1,1,7750,2025-04-01
15,5250027,30525,CCV45GPx96P,1,1,1,11600,2025-04-11
21,5316195,22018,GPSPAG500G,1,1,2,37690,2025-05-21
21,4922754,44794,ISP001P2,1,1,5,73000,2025-05-21
16,1746988,44794,ISP001P2,2,1,3,43800,2025-04-18
19,3821811,22065,GPSPAGTINI500G,1,1,1,18845,2025-05-05
20,5447456,22068,MCHEF1KG,1,1,4,32240,2025-05-16
16,5175523,22068,MCHEF1KG,1,1,1,8060,2025-04-18
14,5256330,22065,GPSPAGTINI500G,1,1,1,18845,2025-04-02
21,3866083,54304,IRC001P2HW,1,1,1,9500,2025-05-20
21,5368547,44792,IRC001P2,1,1,5,47000,2025-05-20
20,5247128,22028,MIMEE_RC100,1,1,4,41200,2025-05-13
18,1735576,22028,MIMEE_RC100,1,1,10,103000,2025-05-01
14,4996875,23012,AMSTELMACAN33CL,1,1,1,12350,2025-03-31
19,5252464,44659,VTCHCKTP50G,2,2,14,71680,2025-05-08
19,5143572,44794,ISP001P2,1,1,3,43800,2025-05-10
19,5395148,44545,GINJUBTO50G,2,1,7,42000,2025-05-06
21,5244201,44792,IRC001P2,1,1,2,18800,2025-05-19
22,5316108,22067,MCHEF500G,1,1,2,16640,2025-05-29
15,5370423,22018,GPSPAG500G,1,1,1,18980,2025-04-12
20,5295446,42988,NASC30G120,1,1,2,36760,2025-05-13
19,5250989,22670,MALTICAN33CL,1,1,2,24700,2025-05-11
14,5162833,46311,BP001,1,1,2,2,2025-04-06
18,2833915,44663,CWS012APKT140,1,1,1,16500,2025-04-29
21,5324913,44792,IRC001P2,1,1,10,94000,2025-05-22
15,3894799,22028,MIMEE_RC100,1,1,3,30900,2025-04-11
20,5290771,22026,MIMEE_RC070,1,1,5,40000,2025-05-14
16,4273616,22462,GPJCNOOD70G,1,1,1,7700,2025-04-17
17,5230785,22415,MCHEF250G,1,1,5,43200,2025-04-21
20,1746988,53418,VOS4596P8,1,1,2,37000,2025-05-13
15,3866083,44794,ISP001P2,1,1,1,14600,2025-04-11
17,5169385,23655,MKSPAG500G,1,1,6,91200,2025-04-23
15,5383095,22462,GPJCNOOD70G,2,1,2,15400,2025-04-07
17,5226871,52540,GPADBCRL45GPCHIN40GX,2,2,6,121056,2025-04-26
22,4669588,54346,GPJCNOOD70GPFO,1,1,5,39650,2025-05-28
21,5218847,22019,GPTWST500G,1,1,2,37890,2025-05-25
16,5291473,19687,IRC180,1,1,10,133000,2025-04-17
22,4578869,54304,IRC001P2HW,1,1,10,95000,2025-05-26
15,5300088,22028,MIMEE_RC100,1,1,10,103000,2025-04-08
18,5309474,19687,IRC180,1,1,3,39900,2025-04-28
15,5228130,44663,CWS012APKT140,1,1,1,16500,2025-04-08
18,4524907,43225,CCB45GPx96FREE,1,1,1,11350,2025-04-28
19,1808141,21031,CWS012C,1,1,2,59600,2025-05-09
17,5223050,19687,IRC180,1,1,2,26600,2025-04-21
22,5324694,22026,MIMEE_RC070,1,1,2,16000,2025-05-26
17,5316956,22018,GPSPAG500G,1,1,2,37960,2025-04-24
15,4636149,22026,MIMEE_RC070,1,1,1,8000,2025-04-09
21,2511009,22067,MCHEF500G,1,1,1,8320,2025-05-21
20,5356824,23655,MKSPAG500G,1,1,4,60800,2025-05-14
20,1040269,19679,IOC001,1,1,1,10300,2025-05-16
15,5374638,22018,GPSPAG500G,1,1,2,37690,2025-04-12
22,3798450,22018,GPSPAG500G,1,1,1,18845,2025-05-26
17,3857758,44792,IRC001P2,1,1,10,95000,2025-04-25
16,5198279,44792,IRC001P2,1,1,5,47500,2025-04-16
21,5438453,22018,GPSPAG500G,1,1,50,952500,2025-05-19
21,5376805,30791,VOS11040,1,1,1,18500,2025-05-21
14,5218825,22018,GPSPAG500G,1,1,3,56535,2025-04-05
17,2480705,44794,ISP001P2,2,1,6,87600,2025-04-22
16,5131072,22415,MCHEF250G,1,1,1,8640,2025-04-15
15,5156895,22067,MCHEF500G,1,1,1,8320,2025-04-11
20,5260609,45084,HHS075IN112,1,1,1,8000,2025-05-13
18,5439104,54346,GPJCNOOD70GPFO,1,1,2,16340,2025-04-29
21,5141645,22837,ABSLMSPAG500G,1,1,1,15500,2025-05-23
16,3483034,19679,IOC001,1,1,1,10300,2025-04-15
18,5339785,22026,MIMEE_RC070,1,1,10,80000,2025-04-29
21,1832530,44794,ISP001P2,1,1,1,14600,2025-05-21
17,3800552,22016,DANG250G,1,1,2,36850,2025-04-26
21,5275470,30791,VOS11040,1,1,5,86000,2025-05-21
20,5299535,23410,DANG1KG,1,1,1,18450,2025-05-15
15,4353152,22066,DANG500G,1,1,1,18450,2025-04-10
19,4091672,54471,GPNOOD70GPFO,1,1,7,55510,2025-05-09
16,1827901,44792,IRC001P2,1,1,10,95000,2025-04-17
18,1989671,43238,CMS040,1,1,1,16000,2025-05-03
16,5369791,22463,GPSGR250G,1,1,1,18430,2025-04-19
19,5327920,42988,NASC30G120,1,1,3,54900,2025-05-07
19,5276337,23655,MKSPAG500G,1,1,2,30400,2025-05-09
16,5252612,22028,MIMEE_RC100,1,1,5,51500,2025-04-18
20,5063696,44384,VIVPDETPW170G,1,1,4,34960,2025-05-16
19,5275380,21031,CWS012C,1,1,2,59600,2025-05-07
18,5309474,22670,MALTICAN33CL,1,1,1,12350,2025-04-28
16,5369724,30432,CWBL12GX200,1,1,3,66000,2025-04-18
14,5239208,44794,ISP001P2,1,1,3,44100,2025-04-05
14,5265398,22018,GPSPAG500G,2,1,2,37690,2025-04-03
22,5258889,21031,CWS012C,1,1,2,59600,2025-05-26
15,4020560,46311,BP001,1,1,1,1,2025-04-09
19,5258225,22016,DANG250G,1,1,4,73800,2025-05-10
19,3859629,44794,ISP001P2,1,1,5,73500,2025-05-05
15,5168113,44794,ISP001P2,1,1,1,14600,2025-04-10
18,3880663,22456,GPSEMO2KG,1,1,2,30600,2025-05-02
17,5357456,19687,IRC180,1,1,3,39900,2025-04-24
17,2242169,22026,MIMEE_RC070,1,1,1,8000,2025-04-25
21,5177799,53418,VOS4596P8,1,1,1,18500,2025-05-22
18,3864239,21031,CWS012C,1,1,5,149000,2025-04-29
18,5236843,22670,MALTICAN33CL,1,1,10,130600,2025-05-01
19,5441270,22065,GPSPAGTINI500G,1,1,3,56535,2025-05-05
15,1819005,53418,VOS4596P8,1,1,1,18500,2025-04-09
22,5131274,22670,MALTICAN33CL,1,1,5,61600,2025-05-26
15,5413266,30291,INO70,1,1,1,9500,2025-04-07
15,5234986,22462,GPJCNOOD70G,1,1,1,7700,2025-04-09
15,5327453,21031,CWS012C,1,1,2,59600,2025-04-08
20,4020080,44384,VIVPDETPW170G,1,1,4,34960,2025-05-16
14,5407129,53421,VOS11040P3,1,1,3,56400,2025-04-03
17,5366062,22670,MALTICAN33CL,1,1,4,49200,2025-04-23
19,1821441,22068,MCHEF1KG,1,1,1,8060,2025-05-06
19,4093678,44659,VTCHCKTP50G,1,1,20,102400,2025-05-08
21,1849487,21031,CWS012C,1,1,1,29800,2025-05-22
20,5167299,30291,INO70,1,1,10,95000,2025-05-12
21,2013185,22026,MIMEE_RC070,1,1,10,80000,2025-05-21
16,4438446,22415,MCHEF250G,1,1,1,8640,2025-04-16
14,5359068,22026,MIMEE_RC070,1,1,2,16000,2025-04-03
16,1835823,22065,GPSPAGTINI500G,1,1,2,37690,2025-04-15
21,5331198,45084,HHS075IN112,1,1,4,32000,2025-05-20
21,3857741,44792,IRC001P2,1,1,1,9400,2025-05-19
19,3792582,53418,VOS4596P8,1,1,5,92500,2025-05-08
21,4246668,22068,MCHEF1KG,1,1,1,8100,2025-05-22
20,1768505,44400,CWS320,1,1,3,98400,2025-05-13
19,5322921,22018,GPSPAG500G,1,1,20,385000,2025-05-06
19,3807485,44792,IRC001P2,1,1,3,28500,2025-05-05
15,5391524,22026,MIMEE_RC070,1,1,1,8000,2025-04-08
16,5369430,22298,GPNOOD70G,2,1,9,69300,2025-04-17
18,5240343,19677,IBP280,1,1,5,68000,2025-04-28
18,5268109,44521,VTTPMX50G,1,1,1,5270,2025-05-02
14,5136497,44663,CWS012APKT140,1,1,4,66000,2025-04-04
15,5157399,19687,IRC180,1,1,5,66500,2025-04-08
19,5129158,22485,CPSPAG500G,1,1,1,19290,2025-05-08
15,5367076,53421,VOS11040P3,1,1,1,18800,2025-04-09
16,3809536,44792,IRC001P2,1,1,1,9500,2025-04-16
21,3725846,45084,HHS075IN112,1,1,1,8000,2025-05-21
19,5297901,45084,HHS075IN112,1,1,1,8000,2025-05-07
15,5306342,22018,GPSPAG500G,1,1,3,56940,2025-04-12
16,5430455,22026,MIMEE_RC070,2,1,3,24000,2025-04-19
14,5244665,22018,GPSPAG500G,1,1,1,19320,2025-04-03
19,5350672,44792,IRC001P2,4,3,19,180500,2025-05-10
18,5159709,44792,IRC001P2,1,1,1,9500,2025-05-01
16,5258889,22028,MIMEE_RC100,1,1,5,51500,2025-04-20
18,5078955,22068,MCHEF1KG,1,1,1,8100,2025-05-01
19,5270438,22026,MIMEE_RC070,1,1,11,88000,2025-05-10
13,5277390,45084,HHS075IN112,1,1,2,16000,2025-03-30
14,5356853,23012,AMSTELMACAN33CL,1,1,1,12350,2025-04-03
16,5299934,22688,CHINSCHNOD70G,1,1,10,81600,2025-04-16
19,5294336,22067,MCHEF500G,1,1,2,16640,2025-05-06
18,4970462,22836,ABSPAG500G,1,1,2,32606,2025-05-01
19,5369630,19687,IRC180,1,1,2,26600,2025-05-05
20,4598213,54304,IRC001P2HW,1,1,10,95000,2025-05-12
20,5357196,22018,GPSPAG500G,1,1,1,18845,2025-05-17
17,5356394,23655,MKSPAG500G,1,1,4,60800,2025-04-26
19,5277291,45860,LAZOILSAC45ML,1,1,1,13800,2025-05-11
16,1887006,22028,MIMEE_RC100,1,1,3,30900,2025-04-17
21,5161144,44521,VTTPMX50G,1,1,30,158100,2025-05-23
19,5378300,54346,GPJCNOOD70GPFO,3,3,34,272260,2025-05-09
16,5290643,22415,MCHEF250G,1,1,1,8640,2025-04-16
21,5273159,53418,VOS4596P8,1,1,10,185000,2025-05-19
18,5201209,19677,IBP280,1,1,3,40800,2025-04-28
15,5244665,22026,MIMEE_RC070,1,1,5,40000,2025-04-09
14,4360263,21031,CWS012C,1,1,5,149000,2025-04-03
21,3899753,22028,MIMEE_RC100,5,3,69,710700,2025-05-24
21,3955828,19679,IOC001,1,1,1,10300,2025-05-21
18,5267855,22067,MCHEF500G,1,1,1,8320,2025-05-04
14,5427975,44794,ISP001P2,1,1,1,14700,2025-04-03
20,3907783,22067,MCHEF500G,1,1,1,8350,2025-05-16
17,5399593,43418,UPLMSLT500G,1,1,5,30000,2025-04-23
13,1802919,22019,GPTWST500G,1,1,3,56835,2025-03-30
21,3908996,22026,MIMEE_RC070,1,1,4,32000,2025-05-20
14,5257739,22298,GPNOOD70G,1,1,4,30800,2025-03-31
14,5428975,22028,MIMEE_RC100,1,1,4,41200,2025-04-04
22,5453461,45699,PEPPET60CL,2,1,4,16400,2025-05-26
19,3856822,44794,ISP001P2,2,1,12,176400,2025-05-05
15,5374356,19687,IRC180,1,1,5,67000,2025-04-09
17,5129293,22016,DANG250G,1,1,1,17500,2025-04-22
18,5424477,44539,GINPJFTSM50G,1,1,1,8000,2025-04-29
16,5296307,22485,CPSPAG500G,1,1,10,192800,2025-04-16
19,1998158,22670,MALTICAN33CL,1,1,1,12497,2025-05-09
14,3857734,44794,ISP001P2,1,1,2,29400,2025-04-01
19,5266631,23655,MKSPAG500G,1,1,5,76000,2025-05-08
18,5242760,22415,MCHEF250G,1,1,2,17300,2025-05-01
17,3864863,22026,MIMEE_RC070,1,1,3,24000,2025-04-24
19,5356824,23655,MKSPAG500G,1,1,1,15200,2025-05-07
14,5263812,45084,HHS075IN112,1,1,1,8000,2025-03-31
15,4020463,22018,GPSPAG500G,1,1,1,19029,2025-04-08
16,5336795,53418,VOS4596P8,1,1,1,18500,2025-04-17
22,5303764,23655,MKSPAG500G,1,1,1,15200,2025-05-26
21,4030433,19677,IBP280,1,1,5,68000,2025-05-22
18,5218316,22299,GPSEMO500G,1,1,1,15100,2025-04-29
15,3921605,22026,MIMEE_RC070,1,1,5,40000,2025-04-10
22,3880497,54349,GPNODGMP70GPFO,1,1,4,30800,2025-05-28
21,1796819,54346,GPJCNOOD70GPFO,1,1,1,7930,2025-05-23
